Package                                     Current    Wanted   Latest  Location                                                                     Depended by                                                        Package Type     Homepage                                                                                                               Depended By Location
@types/node                                20.19.17  20.19.17   24.5.2  node_modules/@types/node                                                     otel-preset@npm:@athlete-ally/otel-preset@1.0.0                    devDependencies  https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/node                                              packages/otel-preset
@types/node                                20.19.17  20.19.17   24.5.2  node_modules/@types/node                                                     protocol-engine@npm:@athlete-ally/protocol-engine@2.0.0            devDependencies  https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/node                                              services/protocol-engine
@types/node                                20.19.17  20.19.17   24.5.2  node_modules/@types/node                                                     protocol-types@npm:@athlete-ally/protocol-types@1.0.0              devDependencies  https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/node                                              packages/protocol-types
@types/node                                20.19.17  20.19.17   24.5.2  node_modules/@types/node                                                     workouts@npm:@athlete-ally/workouts@1.0.0                          devDependencies  https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/node                                              services/workouts
@types/supertest                             2.0.16    2.0.16    6.0.3  node_modules/@types/supertest                                                gateway-bff@npm:@athlete-ally/gateway-bff@0.1.0                    devDependencies  https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/supertest                                         apps/gateway-bff
@typescript-eslint/eslint-plugin             6.21.0    6.21.0   8.44.1  services/adaptive-engine/node_modules/@typescript-eslint/eslint-plugin       adaptive-engine@npm:@athlete-ally/adaptive-engine@1.0.0            devDependencies  https://typescript-eslint.io/packages/eslint-plugin                                                                    services/adaptive-engine
@typescript-eslint/eslint-plugin             6.21.0    6.21.0   8.44.1  services/analytics/node_modules/@typescript-eslint/eslint-plugin             analytics@npm:@athlete-ally/analytics@1.0.0                        devDependencies  https://typescript-eslint.io/packages/eslint-plugin                                                                    services/analytics
@typescript-eslint/eslint-plugin             6.21.0    6.21.0   8.44.1  packages/contracts/node_modules/@typescript-eslint/eslint-plugin             contracts@npm:@athlete-ally/contracts@0.1.0                        devDependencies  https://typescript-eslint.io/packages/eslint-plugin                                                                    packages/contracts
@typescript-eslint/eslint-plugin             6.21.0    6.21.0   8.44.1  services/job-scheduler/node_modules/@typescript-eslint/eslint-plugin         job-scheduler@npm:@athlete-ally/job-scheduler@1.0.0                devDependencies  https://typescript-eslint.io/packages/eslint-plugin                                                                    services/job-scheduler
@typescript-eslint/eslint-plugin             6.21.0    6.21.0   8.44.1  services/notification-service/node_modules/@typescript-eslint/eslint-plugin  notification-service@npm:@athlete-ally/notification-service@1.0.0  devDependencies  https://typescript-eslint.io/packages/eslint-plugin                                                                    services/notification-service
@typescript-eslint/eslint-plugin             6.21.0    6.21.0   8.44.1  services/protocol-engine/node_modules/@typescript-eslint/eslint-plugin       protocol-engine@npm:@athlete-ally/protocol-engine@2.0.0            devDependencies  https://typescript-eslint.io/packages/eslint-plugin                                                                    services/protocol-engine
@typescript-eslint/parser                    6.21.0    6.21.0   8.44.1  services/adaptive-engine/node_modules/@typescript-eslint/parser              adaptive-engine@npm:@athlete-ally/adaptive-engine@1.0.0            devDependencies  https://typescript-eslint.io/packages/parser                                                                           services/adaptive-engine
@typescript-eslint/parser                    6.21.0    6.21.0   8.44.1  services/analytics/node_modules/@typescript-eslint/parser                    analytics@npm:@athlete-ally/analytics@1.0.0                        devDependencies  https://typescript-eslint.io/packages/parser                                                                           services/analytics
@typescript-eslint/parser                    6.21.0    6.21.0   8.44.1  packages/contracts/node_modules/@typescript-eslint/parser                    contracts@npm:@athlete-ally/contracts@0.1.0                        devDependencies  https://typescript-eslint.io/packages/parser                                                                           packages/contracts
@typescript-eslint/parser                    6.21.0    6.21.0   8.44.1  services/job-scheduler/node_modules/@typescript-eslint/parser                job-scheduler@npm:@athlete-ally/job-scheduler@1.0.0                devDependencies  https://typescript-eslint.io/packages/parser                                                                           services/job-scheduler
